Mitä sinulle on tapahtunut?	4, 7
Bisnes ei kannata.	6
Jos emme olisi etsintäkuulutettuja, häipyisimme.	4
Tarjoatko vanhana ystävänä ryypyn?	2, 5
Valitan.	3, 6
Niillä ei ole enää mitään arvoa.	6
Kukaan ei välitä aseista.	1, 3
-Muistatko ne Yatronan lehmät?	2, 5
-Tarjoaisiko joku ryypyn?	2
-Emme pärjää kaksin.	1, 8
-Malja sille!	5, 8
-Odottakaa!	1, 7
-Onko sinulla jotain lisättävää?	1
-Vastustan suunnitelmaanne.	1
-Mitä sinä sitten ehdottaisit?	1, 2
Se Dixonin teurastaja on heti valmis ostamaan 35 nautaa.	4
200 miestä tulee rakentamaan seudun suurinta teurastamoa.	3
-Miten se junaan liittyy?	1, 7
Aina on syytä kokeilla jotain uutta.	5, 7
Jos haaveilet kostosta annat tulevaisuuden mennä sivu suusi.	3, 4, 6
Meitä ei löydetä täältä.	1, 4
Voimme käyttää Shelleenin suunnitelmaa.	2, 5
Mutta kun pyydän teitä ryöstämään yhden pienen junan...	1, 6
On siinäkin sakki!	1, 5, 8
lntiaanirenki, juoppo pyssymies, seksihullu ja eno!	7
Ryöstän junan yksin!	1, 8
-Olen kylvyssä.	2, 5
Entä sitten?	1, 2, 5
-Vetäkää verhot.	1
-Kiitos kovasti.	5, 8
-Päästäkää minut ulos!	4
-Hän elää!	5, 7
Päästetään hänet ulos!	1, 4
-Mitä tapahtui?	6, 7
-Kädet ylös!	1
Päästäkää minut sisään.	1, 4
-Me ryöstämme junaa.	4
-Pitäkää kiirettä.	1
-Mitä me teemme?	4
-Mitä nyt?	1, 2, 4, 8
-Hän ei suostu avaamaan kaappia.	1
-Niinkö?	1, 2, 4
-Meitä jahdataan koko loppuikämme.	4
-Mitä väliä sillä on?	3
-Nyt häivytään!	1, 2, 3, 4
-Vartija oli mukava kaveri.	8
-Suunnitelmasi oli loistava!	5
Se sujui kuin rasvattu.	5
-Aloittelijan tuuria.	1, 6, 7
-Miten me pääsemme pois täältä?	4
-Totta kai Shelleen pääsi pakoon!	5
Lainaatko luotia?	8
Se oli kuin vanhoina kunnon aikoina.	5, 6
-Minä murskaan tuollaiset itikat.	3
-Mikä teitä vaivaa?	1, 3, 4
-Anna äijälle ryyppy, mr Cassidy.	1, 2, 4
-Rahaa on vielä lisää.	2
-Me teimme sen.	2, 5
Minun porukkani!	8
Tämä on vasta alkua.	1, 5
Jos autatte meitä, teistä tulee rikkaita.	8
Hän omistaa yhtiön ja Wolf Cityn ja antaa meidän olla.	8
On siinäkin julmia murhaajia.	4
Uskalsimme lapsina puhua teistä vain kuiskaten.	4
Teistä on tullut vanhoja.	3, 6
