公司跟銀行之間出了些問題 與你無關吧	1
請問 你認識貝利	1
艾貝出版社的老關 老字號	1, 3
他不在這里	6, 7
但他昨天都沒有來	5
我只是替他打工	2
并不是他的私人助理	3
嗯	1, 2, 5
我有一位俄國朋友寫了一本很 重要的小說	2
開放以后 我朋友的小說仍然未能 在蘇聯出版	1
-微笑	2, 5
微笑	5
-我可以看看嗎	2
-我們由這封信談起吧	2
手稿在那里	2
-是嗎	1
那作者究竟寫什么	7
-你為什么逃走	7
我帶一個女人 男人 甚至 一只鴨來 都不關你們的事	1
貝利 你在里斯本做什么	8
老家有人死了嗎	2
想搬大使館嗎 還是你們想綁架我	1
-貝先生	4
我介紹其他同事給你認識	2
這樣好嗎	5, 7
不用急	7
想想吧 貝利	1
她根本不在那里	1
他們對作家是很重視的	5, 8
我能在那兒作客 已經很幸運	5
-我非常受歡迎	5
四十年都沒有核戰 很和平啊	4, 7
我們要互救 因為我們都是受害者	6, 8
貝利 這未免太英雄主義	7
你真的相信是這樣嗎	7
所以我這么喜歡他們	5, 8
有人有薩克斯管嗎	7
但丁	7
我愛我的國家	5, 8
你是干那一行的	2
那你現在寫些什么	1
我就是那個謊話	6
如果你不是 我會答應你一件事	1, 2, 7
但丁 你為何硬說我是間諜呢	4
-你不能拒絕我	1
答應我	2, 8
一言為定	8
我知道 因為你逃避現實	1
-他是誰	1
-沒有線索	6
真的不是你看清楚	6, 7
我沒有這么好運	6
不可讓他們有翻身的機會	1, 2, 3
是很多人都想做的事	2, 5
如果你們生在古時 一定會被 教會燒死	1, 3
要留個口訊嗎	2
如果我們相信他的動機 就能 相信他	8
今次要查的事 是我們一直想知道的 以前我們一直不敢問	5, 8
我們有情報說俄羅斯 在這方面其實很落后 根本威脅不到我們	7
貝利 一路順風	2, 5
貝利先生 你怎會認得我	7
不可能吧	1, 3
我三年前幾乎在這兒被捕	4
他們說我拍攝軍事相片	4
政府實在太腐敗無能	1, 3
輕聲點	1, 4
這么私人的問題我想你不需要 知道吧	1, 3
貝利先生 你會在莫斯科逗留 多久	2
不好意思 我要回去看我的子女	6
-告訴我你家電話號碼	1
不要說或許	6, 7
貝利有待薄你嗎	2
俄羅斯的發展潛力十分豐富	5, 8
你們有營業代表嗎 還是一切仍然聽天由命	1, 3
翻譯呢	1
你們明白我的意思吧	2
你喝酒嗎	2
不要只有我問 你說說話吧	2, 8
告訴我吧 我喜歡說笑	4
他叫你告訴我什么	1, 2
將他們的手稿偷運到西方的嗎	7
-你呢	7
開放后他得到了啟發	5
-你同意嗎 -是的 你也同意啊	1, 3
你替他說話	7
不像科學家 比較像 藝術家	2, 7
于是你愛上了他	5, 7, 8
他是我的初戀情人	5, 8
人們都失去了齒子之心	6, 8
直至去年他遇到一個英國出版人 那個人感動了他	2, 8
因為我知道沒有人 跟他有一樣的想法	6
他會和我討論 大謊言 的問題	6
他說一切都是大謊言的一部份	6
沒有	7
讓你認識我多一些	2
我會掛念你	6
貝利有三個機會和他接觸	8
你迷了路	1, 7
但丁 你在那里	2
那時只有我們兩個是清醒的	4, 8
很可惜 他找不到我	6
沒有人出賣你	8
你的手稿落在 政府的人手上	3
你拒絕替我出版小說嗎	1, 3, 4, 6
但丁 你不要這么激動	1
如果我們一起行動 我們就會 一起生存	8
我不是你想像中的人	3, 6
當年革命就在這兒開始	5
你想像一下當天的情景 戰船鳴炮一響  像怔革命開始	2
時間到了	5
我會幫你	8
-內容怎樣	8
你是明星	5
說得好 羅素	5
但問題是就是因為這幾本簿 很多本來高薪厚職的人  可能會失業	1, 4
克萊夫 尼特 我告訴你們	4
為什么時常到俄羅斯呢	1
這個問題很好	8
羅素 那幅畫不是我的	1
但是你似乎經常到俄羅斯 卻不常來美國	6, 7
俄羅斯跟美國一樣腐敗	8
諾布這個人真的不錯	5
-是	2, 8
不是	1
克萊夫 叫他走吧	3
他不會受賭 亦不會怕我們恐嚇	8
尼特 義氣是不值錢的	5
貝利	7
波比 清單上的問題 可以讓我們知道蘇聯的軍事秘密  幫助我們在軍備竟賽中勝出	7
很好 貝的錄音帶已經加密	5
并用衛星傳送返倫敦解碼	7, 8
他們還讓你進來嗎	3
不要談烈寧格勒吧	3
如果她又年青又漂亮 我就原諒你	6, 8
真的 見到你真是太好了	5, 7, 8
這穿上去太漂亮了	5, 7
我有消息要告訴你	2
他病倒了 但現已康復	5
我以為他除了你之外沒有 可信賴的朋友	7
-你告訴她	1
-畫得很好	5
-他的信是怎么結尾的	2
又是情話	5, 8
哪個是難對付的人	1
夠了 你們不要再偷錄了	1
人病倒了就是這樣	6
-我愛你	5, 8
是命中注定要我遇上你	6
是 無私的愛 成年人的愛  -你知道是的	2, 5
我實在不能再受傷害了	2, 8
-你干什么么	4
我是站在你們這的	5, 8
-我不累	1, 2
你也不會這么做吧	7
-為何由他駕駛	7
他是個大男人	3
我們知道的不比你們多	8
錄音帶在哪	2
有什么異樣嗎	2
做得好	5
你做得很好	2, 5
